id,fullname,shortname,student_count
2,Aula de Examen para beneficiarios ,AEB,8
12,Aula Base Ingles,ABI-MTIC,1
14,Aula Base Fundamentos de Programación,ABFP-MTIC,1
15,Aula Base Habilidades Personales e Inserción Laboral,AB-HPIL,1
18,Aula Base Ingles - Ciclo 2,ABI-MTIC-C2,1
23,Aula Base Ingles - Ciclo 3,ABI-MTIC-C3,1
25,AULA BASE INGLES - CICLO 4,ABI-MTIC-C4,1
27,AULA BASE DESARROLLO DE APLICACIONES WEB,ABDAW-MTIC,1
28,AULA BASE DESARROLLO DE APLICACIONES MÓVILES,ABDAM-MTIC,1
29,Aula Base Ingles,ABI-MTIC-2022,1
31,Aula Base Fundamentos de Programación,ABFP-MTIC-2022,5
32,Aula Base Ingles - Ciclo 2,ABI-MTIC-C2-2022,1
33,Aula Base Java,ABJ-MTIC-2022,4
34,Aula Base Ingles - Ciclo 3,ABI-MTIC-C3-2022,1
35,AULA BASE DESARROLLO DE SOFTWARE – CICLO 3,AB-DS-C3-2022,4
37,AULA BASE DESARROLLO DE APLICACIONES WEB,ABDAW-MTIC-2022,4
38,AULA BASE INGLES - CICLO 4,ABI-MTIC-C4-2022,1
39,Aula Base Habilidades Personales e Inserción Laboral,AB-HPIL-2022,2
40,Aula Base Habilidades Personales e Inserción Laboral - Ciclo 2,AB-HPIL-C2-2022,2
41,AULA BASE HABILIDADES PERSONALES E INSERCIÓN LABORAL - CICLO 3,AB-HPIL-C3-2022,2
45,Aula Prueba - Examen Suficiencia,AP-ES,23
71,Pruebas de Suficiencia - Grupo 1,PS-G1,900
72,Pruebas de Suficiencia - Grupo 2,PS-G2,900
73,Pruebas de Suficiencia - Grupo 3,PS-G3,900
74,Pruebas de Suficiencia - Grupo 4,PS-G4,900
75,Pruebas de Suficiencia - Grupo 5,PS-G5,900
76,Pruebas de Suficiencia - Grupo 6,PS-G6,758
127,AULA BASE DESARROLLO DE APLICACIONES MÓVILES,ABDAM-MTIC-2022,2
128,AULA BASE HABILIDADES PERSONALES E INSERCIÓN LABORAL - CICLO 4,AB-HPIL-C4-2022,2
129,Inglés - Ciclo 1 - Grupo 1,IN-C1-P1-1,72
130,Inglés - Ciclo 1 - Grupo 2,IN-C1-P1-2,72
131,Inglés - Ciclo 1 - Grupo 3,IN-C1-P1-3,72
132,Inglés - Ciclo 1 - Grupo 4,IN-C1-P1-4,72
133,Inglés - Ciclo 1 - Grupo 5,IN-C1-P1-5,71
134,Inglés - Ciclo 1 - Grupo 6,IN-C1-P1-6,72
135,Inglés - Ciclo 1 - Grupo 7,IN-C1-P1-7,61
136,Inglés - Ciclo 1 - Grupo 8,IN-C1-P1-8,61
137,Inglés - Ciclo 1 - Grupo 9,IN-C1-P1-9,64
138,Inglés - Ciclo 1 - Grupo 10,IN-C1-P1-10,65
139,Inglés - Ciclo 1 - Grupo 11,IN-C1-P1-11,67
140,Inglés - Ciclo 1 - Grupo 12,IN-C1-P1-12,73
141,Inglés - Ciclo 1 - Grupo 13,IN-C1-P1-13,64
142,Inglés - Ciclo 1 - Grupo 14,IN-C1-P1-14,72
143,Inglés - Ciclo 1 - Grupo 15,IN-C1-P1-15,72
144,Inglés - Ciclo 1 - Grupo 16,IN-C1-P1-16,72
145,Inglés - Ciclo 1 - Grupo 17,IN-C1-P1-17,72
146,Inglés - Ciclo 1 - Grupo 18,IN-C1-P1-18,72
147,Inglés - Ciclo 1 - Grupo 19,IN-C1-P1-19,73
148,Inglés - Ciclo 1 - Grupo 20,IN-C1-P1-20,72
149,Inglés - Ciclo 1 - Grupo 21,IN-C1-P1-21,72
150,Inglés - Ciclo 1 - Grupo 22,IN-C1-P1-22,72
151,Inglés - Ciclo 1 - Grupo 23,IN-C1-P1-23,72
152,Inglés - Ciclo 1 - Grupo 24,IN-C1-P1-24,71
153,Inglés - Ciclo 1 - Grupo 25,IN-C1-P1-25,63
154,Inglés - Ciclo 1 - Grupo 26,IN-C1-P1-26,72
155,Inglés - Ciclo 1 - Grupo 27,IN-C1-P1-27,62
